Campaign_ID,Campaign_Name,Channel,Quarter,Industry_Segment,Budget_Spent,Impressions,Clicks,Leads_Generated,Conversions,Revenue_Generated,Customer_Acquisition_Cost,Avg_Order_Value,Email_Open_Rate,Click_Through_Rate,Conversion_Rate
C001,Spring Brand Awareness,Social Media,Q1,Retail,45000,2800000,84000,2520,378,189000,119,500,0,0.030,0.150
C002,Spring Brand Awareness,Search Ads,Q1,Retail,38000,1200000,48000,1920,384,230400,99,600,0,0.040,0.200
C003,Spring Brand Awareness,Email,Q1,Retail,12000,0,0,18000,1440,129600,8,90,0.32,0,0.080
C004,Spring Brand Awareness,Display Ads,Q1,Retail,22000,5000000,50000,750,75,52500,293,700,0,0.010,0.100
C005,Product Launch - SmartHome,Social Media,Q1,Technology,65000,4200000,168000,5040,756,378000,86,500,0,0.040,0.150
C006,Product Launch - SmartHome,Search Ads,Q1,Technology,72000,1800000,90000,4500,900,540000,80,600,0,0.050,0.200
C007,Product Launch - SmartHome,Email,Q1,Technology,18000,0,0,27000,2160,194400,8,90,0.38,0,0.080
C008,Product Launch - SmartHome,Influencer,Q1,Technology,95000,8500000,425000,8500,850,510000,112,600,0,0.050,0.100
C009,Spring Sale Event,Social Media,Q1,Retail,55000,3500000,140000,4200,840,588000,65,700,0,0.040,0.200
C010,Spring Sale Event,Search Ads,Q1,Retail,48000,1500000,75000,3750,1125,900000,43,800,0,0.050,0.300
C011,Spring Sale Event,Email,Q1,Retail,15000,0,0,22500,2700,270000,6,100,0.42,0,0.120
C012,B2B Lead Generation,LinkedIn,Q1,B2B Services,85000,950000,28500,2280,228,456000,373,2000,0,0.030,0.100
C013,B2B Lead Generation,Email,Q1,B2B Services,25000,0,0,15000,750,375000,33,500,0.28,0,0.050
C014,Summer Campaign,Social Media,Q2,Retail,60000,3800000,152000,4560,912,638400,66,700,0,0.040,0.200
C015,Summer Campaign,Search Ads,Q2,Retail,52000,1650000,82500,4125,1237,1113300,42,900,0,0.050,0.300
C016,Summer Campaign,Email,Q2,Retail,16000,0,0,24000,2880,288000,6,100,0.45,0,0.120
C017,Summer Campaign,Display Ads,Q2,Retail,28000,6200000,62000,930,93,74400,301,800,0,0.010,0.100
C018,Back to School,Social Media,Q2,Education,42000,2600000,104000,3120,624,374400,67,600,0,0.040,0.200
C019,Back to School,Search Ads,Q2,Education,35000,1100000,55000,2750,825,742500,42,900,0,0.050,0.300
C020,Back to School,Email,Q2,Education,10000,0,0,15000,1200,108000,8,90,0.35,0,0.080
C021,SaaS Product Demo,Search Ads,Q2,Technology,88000,2200000,110000,8800,1760,1760000,50,1000,0,0.050,0.200
C022,SaaS Product Demo,Email,Q2,Technology,22000,0,0,33000,3300,3300000,7,1000,0.40,0,0.100
C023,SaaS Product Demo,LinkedIn,Q2,Technology,75000,820000,24600,1968,394,394000,190,1000,0,0.030,0.200
C024,B2B Lead Generation,LinkedIn,Q2,B2B Services,90000,1050000,31500,2520,504,1008000,179,2000,0,0.030,0.200
C025,B2B Lead Generation,Email,Q2,B2B Services,28000,0,0,16800,840,420000,33,500,0.30,0,0.050
C026,Fall Product Launch,Social Media,Q3,Technology,75000,5000000,200000,6000,900,540000,83,600,0,0.040,0.150
C027,Fall Product Launch,Search Ads,Q3,Technology,82000,2100000,105000,5250,1050,630000,78,600,0,0.050,0.200
C028,Fall Product Launch,Email,Q3,Technology,20000,0,0,30000,2400,216000,8,90,0.39,0,0.080
C029,Fall Product Launch,Influencer,Q3,Technology,110000,10000000,500000,10000,1000,600000,110,600,0,0.050,0.100
C030,Holiday Preview,Social Media,Q3,Retail,70000,4500000,180000,5400,1080,756000,65,700,0,0.040,0.200
C031,Holiday Preview,Email,Q3,Retail,18000,0,0,27000,3240,324000,6,100,0.48,0,0.120
C032,Healthcare Awareness,Search Ads,Q3,Healthcare,55000,1400000,70000,3500,700,700000,79,1000,0,0.050,0.200
C033,Healthcare Awareness,Email,Q3,Healthcare,15000,0,0,22500,1350,135000,11,100,0.33,0,0.060
C034,B2B Fall Series,LinkedIn,Q3,B2B Services,95000,1200000,36000,2880,576,1152000,165,2000,0,0.030,0.200
C035,Holiday Mega Campaign,Social Media,Q4,Retail,120000,8000000,320000,9600,2880,2880000,42,1000,0,0.040,0.300
C036,Holiday Mega Campaign,Search Ads,Q4,Retail,105000,3500000,175000,8750,3500,4200000,30,1200,0,0.050,0.400
C037,Holiday Mega Campaign,Email,Q4,Retail,35000,0,0,52500,8400,1008000,4,120,0.52,0,0.160
C038,Holiday Mega Campaign,Display Ads,Q4,Retail,55000,12000000,120000,1800,360,432000,153,1200,0,0.010,0.200
C039,Holiday Mega Campaign,Influencer,Q4,Retail,150000,15000000,750000,15000,3000,3600000,50,1200,0,0.050,0.200
C040,Year End Tech Deals,Social Media,Q4,Technology,85000,5500000,220000,6600,990,594000,86,600,0,0.040,0.150
C041,Year End Tech Deals,Search Ads,Q4,Technology,92000,2300000,115000,5750,1150,690000,80,600,0,0.050,0.200
C042,Year End Tech Deals,Email,Q4,Technology,25000,0,0,37500,3000,270000,8,90,0.44,0,0.080
C043,New Year B2B Push,LinkedIn,Q4,B2B Services,100000,1300000,39000,3120,624,1248000,160,2000,0,0.030,0.200
C044,New Year B2B Push,Email,Q4,B2B Services,30000,0,0,18000,900,450000,33,500,0.31,0,0.050
C045,Healthcare Q4,Search Ads,Q4,Healthcare,62000,1600000,80000,4000,800,800000,78,1000,0,0.050,0.200
C046,Healthcare Q4,Email,Q4,Healthcare,18000,0,0,27000,1620,162000,11,100,0.36,0,0.060
